type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder
4916171675,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-1c+1510783581.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU024-12,FSWPU024-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916171675,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-1b+1510783524.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU024-12,FSWPU024-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916171675,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-1a+1510783469.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU024-12,FSWPU024-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916153575,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B1-1b+1510780058.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU019-12,FSWPU019-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916153575,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B1-1c+1510780126.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU019-12,FSWPU019-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916153575,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B1-1a+1510779972.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU019-12,FSWPU019-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916060873,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B2-2b+1510782912.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU023-12,FSWPU023-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916060873,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B2-2a+1510782859.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU023-12,FSWPU023-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916060873,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B2-2c+1510782994.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU023-12,FSWPU023-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916018969,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-4a+1510855773.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU027-12,FSWPU027-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916018969,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-4b+1510856221.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU027-12,FSWPU027-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916018969,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-4c+1510856269.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU027-12,FSWPU027-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912810633,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMNF_B2-1c+1511302546.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU016-12,FSWPU016-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912810633,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMNF_B2-1a+1511302421.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU016-12,FSWPU016-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912810633,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMNF_B2-1b+1511302477.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU016-12,FSWPU016-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912808743,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-2b+1510784270.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU025-12,FSWPU025-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4912808743,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B3-2a+1510784159.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU025-12,FSWPU025-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
